Thread Name,Action,Date
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:47:23.638
AWT-EventQueue-0,Add ticket,2020-06-03 22:47:27.062
AWT-EventQueue-0,Add ticket,2020-06-03 22:47:39.463
AWT-EventQueue-0,Update final price of ticket,2020-06-03 22:47:39.477
AWT-EventQueue-0,Get ticket details by id,2020-06-03 22:47:39.486
AWT-EventQueue-0,Get event by id,2020-06-03 22:47:39.494
AWT-EventQueue-0,Get client by id,2020-06-03 22:47:39.503
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:47:41.08
AWT-EventQueue-0,Add ticket,2020-06-03 22:47:50.676
AWT-EventQueue-0,Update final price of ticket,2020-06-03 22:47:50.69
AWT-EventQueue-0,Get ticket details by id,2020-06-03 22:47:50.698
AWT-EventQueue-0,Get event by id,2020-06-03 22:47:50.706
AWT-EventQueue-0,Get client by id,2020-06-03 22:47:50.714
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:47:52.453
AWT-EventQueue-0,Add ticket,2020-06-03 22:48:21.881
AWT-EventQueue-0,Update final price of ticket,2020-06-03 22:48:21.894
AWT-EventQueue-0,Get ticket details by id,2020-06-03 22:48:21.903
AWT-EventQueue-0,Get event by id,2020-06-03 22:48:21.912
AWT-EventQueue-0,Get client by id,2020-06-03 22:48:21.922
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:48:23.093
AWT-EventQueue-0,Add ticket,2020-06-03 22:48:36.269
Thread-8,Add ticket details,2020-06-03 22:49:06.671
AWT-EventQueue-0,Get ticket details,2020-06-03 22:49:09.948
AWT-EventQueue-0,Add ticket,2020-06-03 22:49:20.879
AWT-EventQueue-0,Update final price of ticket,2020-06-03 22:49:20.894
AWT-EventQueue-0,Get ticket details by id,2020-06-03 22:49:20.903
AWT-EventQueue-0,Get event by id,2020-06-03 22:49:20.912
AWT-EventQueue-0,Get client by id,2020-06-03 22:49:20.921
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:49:22.308
AWT-EventQueue-0,Get ticket by id,2020-06-03 22:50:24.967
AWT-EventQueue-0,Update ticket details id,2020-06-03 22:50:24.977
AWT-EventQueue-0,Update final price of ticket,2020-06-03 22:50:24.985
AWT-EventQueue-0,Get ticket details by id,2020-06-03 22:50:24.993
AWT-EventQueue-0,Get event by id,2020-06-03 22:50:25.001
AWT-EventQueue-0,Get client by id,2020-06-03 22:50:25.01
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:50:26.204
AWT-EventQueue-0,Get ticket by id,2020-06-03 22:50:44.863
AWT-EventQueue-0,Update ticket details id,2020-06-03 22:50:44.871
AWT-EventQueue-0,Update final price of ticket,2020-06-03 22:50:44.878
AWT-EventQueue-0,Get ticket details by id,2020-06-03 22:50:44.886
AWT-EventQueue-0,Get event by id,2020-06-03 22:50:44.894
AWT-EventQueue-0,Get client by id,2020-06-03 22:50:44.903
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:50:46.135
AWT-EventQueue-0,Get ticket by id,2020-06-03 22:50:56.169
AWT-EventQueue-0,Update ticket details id,2020-06-03 22:50:56.18
AWT-EventQueue-0,Update final price of ticket,2020-06-03 22:50:56.188
AWT-EventQueue-0,Get ticket details by id,2020-06-03 22:50:56.196
AWT-EventQueue-0,Get event by id,2020-06-03 22:50:56.205
AWT-EventQueue-0,Get client by id,2020-06-03 22:50:56.214
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:50:57.295
AWT-EventQueue-0,Get ticket by id,2020-06-03 22:51:06.931
AWT-EventQueue-0,Update ticket details id,2020-06-03 22:51:06.939
AWT-EventQueue-0,Update final price of ticket,2020-06-03 22:51:06.947
AWT-EventQueue-0,Get ticket details by id,2020-06-03 22:51:06.955
AWT-EventQueue-0,Get event by id,2020-06-03 22:51:06.964
AWT-EventQueue-0,Get client by id,2020-06-03 22:51:06.973
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:51:08.094
AWT-EventQueue-0,Get ticket by id,2020-06-03 22:51:13.968
AWT-EventQueue-0,Update ticket details id,2020-06-03 22:51:13.977
AWT-EventQueue-0,Update final price of ticket,2020-06-03 22:51:13.985
AWT-EventQueue-0,Get ticket details by id,2020-06-03 22:51:13.993
AWT-EventQueue-0,Get event by id,2020-06-03 22:51:14.002
AWT-EventQueue-0,Get client by id,2020-06-03 22:51:14.01
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:51:15.377
AWT-EventQueue-0,Get client by id,2020-06-03 22:51:56.33
AWT-EventQueue-0,Get client by id,2020-06-03 22:52:06.115
AWT-EventQueue-0,Find ticket by client id,2020-06-03 22:52:06.125
AWT-EventQueue-0,Get client by id,2020-06-03 22:52:10.617
AWT-EventQueue-0,Find ticket by client id,2020-06-03 22:52:10.626
main,Get sold tickets,2020-06-03 22:53:23.188
main,Get all clients,2020-06-03 22:53:23.278
main,Get ticket details,2020-06-03 22:53:23.304
main,Get all the events,2020-06-03 22:53:23.509
main,Get locations,2020-06-03 22:53:23.531
AWT-EventQueue-0,,Add client,2020-06-03 22:54:06.328
AWT-EventQueue-0,Get all clients,2020-06-03 22:54:07.518
main,Get sold tickets,2020-06-03 22:55:48.212
main,Get all clients,2020-06-03 22:55:48.285
main,Get ticket details,2020-06-03 22:55:48.318
main,Get all the events,2020-06-03 22:55:48.562
main,Get locations,2020-06-03 22:55:48.587
AWT-EventQueue-0,Get client by id,2020-06-03 22:56:01.793
Thread-0,Update client name,2020-06-03 22:56:01.814
AWT-EventQueue-0,Get all clients,2020-06-03 22:56:03.124
AWT-EventQueue-0,Get client by id,2020-06-03 22:56:33.845
Thread-1,Update client name,2020-06-03 22:56:33.859
AWT-EventQueue-0,Get all clients,2020-06-03 22:56:35.962
Thread-2,Add event,2020-06-03 22:56:53.059
AWT-EventQueue-0,Get all the events,2020-06-03 22:56:54.29
